[2026-06-01 05:57:40,027][__main__][INFO] - Epoch 000 | train_total 0.0108 | train_normal 0.0016 | train_anomaly 0.0184 | val_total 0.0104
[2026-06-01 05:57:41,718][__main__][INFO] - Epoch 001 | train_total 0.0102 | train_normal 0.0005 | train_anomaly 0.0195 | val_total 0.0102
[2026-06-01 05:57:43,399][__main__][INFO] - Epoch 002 | train_total 0.0101 | train_normal 0.0003 | train_anomaly 0.0197 | val_total 0.0101
[2026-06-01 05:57:45,081][__main__][INFO] - Epoch 003 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:57:46,769][__main__][INFO] - Epoch 004 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:57:48,461][__main__][INFO] - Epoch 005 | train_total 0.0101 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0101
[2026-06-01 05:57:50,165][__main__][INFO] - Epoch 006 | train_total 0.0101 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 05:57:51,872][__main__][INFO] - Epoch 007 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 05:57:53,709][__main__][INFO] - Epoch 008 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 05:57:55,395][__main__][INFO] - Epoch 009 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:32:00,259][__main__][INFO] - Epoch 000 | train_total 0.0107 | train_normal 0.0014 | train_anomaly 0.0186 | val_total 0.0103
[2026-06-01 06:32:01,976][__main__][INFO] - Epoch 001 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 06:32:03,673][__main__][INFO] - Epoch 002 | train_total 0.0100 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 06:32:05,345][__main__][INFO] - Epoch 003 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:32:07,020][__main__][INFO] - Epoch 004 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:32:08,692][__main__][INFO] - Epoch 005 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:32:10,375][__main__][INFO] - Epoch 006 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:32:12,067][__main__][INFO] - Epoch 007 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:32:13,892][__main__][INFO] - Epoch 008 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:32:15,564][__main__][INFO] - Epoch 009 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
