[2026-06-01 05:57:21,710][__main__][INFO] - Epoch 000 | train_total 0.0109 | train_normal 0.0018 | train_anomaly 0.0182 | val_total 0.0106
[2026-06-01 05:57:23,400][__main__][INFO] - Epoch 001 | train_total 0.0103 | train_normal 0.0007 | train_anomaly 0.0193 | val_total 0.0103
[2026-06-01 05:57:25,089][__main__][INFO] - Epoch 002 | train_total 0.0102 | train_normal 0.0004 | train_anomaly 0.0196 | val_total 0.0102
[2026-06-01 05:57:26,921][__main__][INFO] - Epoch 003 | train_total 0.0102 | train_normal 0.0003 | train_anomaly 0.0197 | val_total 0.0102
[2026-06-01 05:57:28,606][__main__][INFO] - Epoch 004 | train_total 0.0101 | train_normal 0.0003 | train_anomaly 0.0197 | val_total 0.0101
[2026-06-01 05:57:30,290][__main__][INFO] - Epoch 005 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:57:31,989][__main__][INFO] - Epoch 006 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:57:33,679][__main__][INFO] - Epoch 007 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:57:35,363][__main__][INFO] - Epoch 008 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 05:57:37,060][__main__][INFO] - Epoch 009 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 06:31:41,665][__main__][INFO] - Epoch 000 | train_total 0.0108 | train_normal 0.0016 | train_anomaly 0.0184 | val_total 0.0105
[2026-06-01 06:31:43,382][__main__][INFO] - Epoch 001 | train_total 0.0102 | train_normal 0.0005 | train_anomaly 0.0195 | val_total 0.0101
[2026-06-01 06:31:45,089][__main__][INFO] - Epoch 002 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 06:31:46,947][__main__][INFO] - Epoch 003 | train_total 0.0101 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 06:31:48,659][__main__][INFO] - Epoch 004 | train_total 0.0100 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 06:31:50,376][__main__][INFO] - Epoch 005 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:31:52,093][__main__][INFO] - Epoch 006 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:31:53,814][__main__][INFO] - Epoch 007 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:31:55,527][__main__][INFO] - Epoch 008 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 06:31:57,246][__main__][INFO] - Epoch 009 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
