[2026-06-01 11:11:25,147][__main__][INFO] - Epoch 000 | train_total 0.0105 | train_normal 0.0010 | train_anomaly 0.0190 | val_total 0.0101
[2026-06-01 11:11:26,876][__main__][INFO] - Epoch 001 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:28,595][__main__][INFO] - Epoch 002 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:30,309][__main__][INFO] - Epoch 003 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:32,005][__main__][INFO] - Epoch 004 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:33,689][__main__][INFO] - Epoch 005 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:35,379][__main__][INFO] - Epoch 006 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:37,212][__main__][INFO] - Epoch 007 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:38,884][__main__][INFO] - Epoch 008 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:40,562][__main__][INFO] - Epoch 009 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:42,247][__main__][INFO] - Epoch 010 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:43,922][__main__][INFO] - Epoch 011 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:45,595][__main__][INFO] - Epoch 012 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:47,283][__main__][INFO] - Epoch 013 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:48,962][__main__][INFO] - Epoch 014 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:50,642][__main__][INFO] - Epoch 015 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:52,330][__main__][INFO] - Epoch 016 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:54,009][__main__][INFO] - Epoch 017 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:55,687][__main__][INFO] - Epoch 018 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 11:11:57,372][__main__][INFO] - Epoch 019 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
